timestamp,ACLineStatus,BatteryFlag,BatteryLifePercent,SystemStatusFlag,BatteryLifeTime,BatteryFullLifeTime
1611163098,0,2,24,0,2238,4294967295
1611163103,0,2,24,0,2238,4294967295
1611163108,0,2,24,0,2238,4294967295
1611163113,0,2,24,0,2238,4294967295
1611163118,0,2,24,0,2238,4294967295
1611163123,0,2,24,0,2238,4294967295
1611163128,0,2,24,0,2238,4294967295
1611163133,0,2,24,0,2238,4294967295
1611163138,0,2,24,0,2238,4294967295
1611163143,0,2,24,0,2238,4294967295
1611163148,0,2,24,0,2238,4294967295
1611163153,0,2,24,0,2238,4294967295
1611163158,0,2,24,0,2238,4294967295
1611163163,0,2,24,0,2238,4294967295
1611163168,0,2,24,0,2238,4294967295
1611163173,0,2,24,0,2238,4294967295
1611163178,0,2,24,0,2238,4294967295
1611163183,0,2,23,0,1663,4294967295
1611163188,0,2,23,0,1663,4294967295
1611163193,0,2,23,0,1663,4294967295
1611163198,0,2,23,0,1663,4294967295
1611163203,0,2,23,0,1663,4294967295
1611163208,0,2,23,0,1663,4294967295
1611163213,0,2,23,0,1663,4294967295
1611163218,0,2,23,0,1663,4294967295
1611163223,0,2,23,0,1663,4294967295
1611163228,0,2,23,0,1663,4294967295
1611163233,0,2,23,0,1663,4294967295
1611163238,0,2,23,0,1663,4294967295
1611163243,0,2,23,0,1663,4294967295
1611163248,0,2,23,0,1663,4294967295
1611163253,0,2,23,0,1663,4294967295
1611163258,0,2,22,0,1109,4294967295
1611163263,0,2,22,0,1109,4294967295
1611163268,0,2,22,0,1109,4294967295
1611163273,0,2,22,0,1109,4294967295
1611163278,0,2,22,0,1109,4294967295
1611163283,0,2,22,0,1109,4294967295
1611163288,0,2,22,0,1109,4294967295
1611163293,0,2,22,0,1109,4294967295
1611163298,0,2,22,0,1109,4294967295
1611163303,0,2,22,0,1109,4294967295
1611163308,0,2,22,0,1109,4294967295
1611163313,0,2,21,0,628,4294967295
1611163318,0,2,21,0,628,4294967295
1611163323,0,2,21,0,628,4294967295
1611163328,0,2,21,0,628,4294967295
1611163333,0,2,21,0,628,4294967295
1611163338,0,2,21,0,628,4294967295
1611163343,0,2,21,0,628,4294967295
1611163348,0,2,21,0,628,4294967295
1611163353,0,2,21,0,628,4294967295
1611163358,0,2,20,0,1521,4294967295
1611163363,0,2,20,0,1521,4294967295
1611163368,0,2,20,0,1521,4294967295
1611163373,0,2,20,0,1521,4294967295
1611163378,0,2,20,0,1521,4294967295
1611163383,0,2,20,0,1521,4294967295
1611163388,0,2,20,0,1521,4294967295
1611163393,0,2,20,0,1521,4294967295
1611163399,0,2,20,0,1521,4294967295
1611163404,0,2,20,0,1521,4294967295
1611163409,0,2,19,1,1089,4294967295
1611163414,0,2,19,1,1089,4294967295
1611163419,0,2,19,1,1089,4294967295
1611163424,0,2,19,1,1089,4294967295
1611163429,0,2,19,1,1089,4294967295
1611163434,0,2,19,1,1089,4294967295
1611163439,0,2,19,1,1089,4294967295
1611163444,0,2,19,1,1089,4294967295
1611163449,0,2,19,1,1089,4294967295
1611163454,0,2,19,1,1089,4294967295
1611163459,0,2,19,1,1089,4294967295
1611163464,0,2,19,1,1089,4294967295
1611163469,0,2,18,1,1410,4294967295
1611163474,0,2,18,1,1410,4294967295
1611163479,0,2,18,1,1410,4294967295
1611163484,0,2,18,1,1410,4294967295
1611163489,0,2,18,1,1410,4294967295
1611163494,0,2,18,1,1410,4294967295
1611163499,0,2,18,1,1410,4294967295
1611163504,0,2,18,1,1410,4294967295
1611163509,0,2,18,1,1410,4294967295
1611163514,0,2,18,1,1410,4294967295
1611163519,0,2,18,1,1410,4294967295
1611163524,0,2,18,1,1410,4294967295
1611163529,0,2,18,1,1410,4294967295
1611163534,0,2,17,1,1157,4294967295
1611163539,0,2,17,1,1157,4294967295
1611163544,0,2,17,1,1157,4294967295
1611163549,0,2,17,1,1157,4294967295
1611163554,0,2,17,1,1157,4294967295
1611163559,0,2,17,1,1157,4294967295
1611163564,0,2,17,1,1157,4294967295
